id,title,description,category,color,price,currency,discount_percent,created_at,size_available
132,Men's Straight Leg Chinos,"Classic straight leg chinos, a versatile wardrobe staple. Can be dressed up or down. Made from comfortable cotton twill.",pants,stone,2050,BDT,0,2025-01-18T17:00:00Z,30|32|34|36
133,Men's V-Neck T-Shirt,Casual and comfortable v-neck t-shirt.  A relaxed alternative to the crew neck. Made from soft cotton.,tshirt,olive,770,BDT,12,2024-12-08T14:00:00Z,S|M|L|XL
134,Men's Denim Shorts,Casual denim shorts for a relaxed summer look.  Features a classic denim wash and a comfortable fit.,shorts,blue,1050,BDT,22,2025-04-12T11:30:00Z,30|32|34
135,Men's Shawl Collar Cardigan,Elegant shawl collar cardigan for a sophisticated and cozy feel.  Made from soft knit material.,sweater,grey,2700,BDT,0,2024-11-10T18:00:00Z,S|M|L|XL
136,Men's Fedora Hat,Stylish fedora hat with a classic brim.  Adds a touch of vintage flair to any outfit.,accessory,brown,600,BDT,0,2025-03-01T09:15:00Z,ONESIZE
137,Men's Track Pants,"Comfortable track pants with side stripes.  Ideal for athletic wear or casual lounging. Made from soft, flexible fabric.",pants,black|white stripe,1350,BDT,8,2025-02-08T10:00:00Z,S|M|L|XL
138,Men's Rain Jacket,"Waterproof rain jacket with a hood.  Keeps you dry in wet weather. Made from durable, water-resistant material.",jacket,navy,2650,BDT,0,2025-04-22T15:45:00Z,S|M|L|XL
139,Men's Muscle Tank Top,Fitted muscle tank top for workouts or casual wear.  Accentuates the shoulders and arms. Made from breathable fabric.,tshirt,white,680,BDT,15,2024-12-01T12:00:00Z,M|L|XL
140,Men's Slim Fit Jeans,Modern slim fit jeans with a tapered leg.  Offers a stylish and contemporary look. Made from stretch denim for comfort.,jeans,dark wash,2350,BDT,0,2025-01-25T13:00:00Z,30|32|34|36
141,Men's Double-Breasted Suit Jacket,Classic double-breasted suit jacket for a formal and distinguished appearance. Made from premium wool blend.,jacket,charcoal grey,3800,BDT,0,2024-11-20T10:30:00Z,38R|40R|42R
142,Men's Double-Breasted Suit Pants,Matching double-breasted suit pants with a classic fit. Features a higher rise and a wider leg opening.,pants,charcoal grey,2400,BDT,0,2025-01-28T14:30:00Z,30|32|34|36
143,Men's Band Collar Shirt,Stylish band collar shirt with a unique collarless design. Offers a modern and sophisticated look. Made from crisp cotton fabric.,shirt,white,1900,BDT,0,2025-02-12T11:00:00Z,S|M|L|XL
144,Men's Striped T-Shirt,"Classic striped t-shirt for a casual and timeless style.  Made from soft, comfortable cotton.",tshirt,navy|white stripe,900,BDT,10,2024-12-10T14:00:00Z,S|M|L|XL
145,Men's Linen Shorts,Lightweight and breathable linen shorts for hot weather.  Offers a relaxed and comfortable fit. Made from 100% linen.,shorts,natural,1150,BDT,20,2025-04-15T10:00:00Z,30|32|34|36
146,Men's Trench Coat,Classic trench coat for a timeless and sophisticated look.  Made from durable water-resistant fabric. Perfect for rainy weather.,jacket,beige,3200,BDT,0,2025-03-01T16:00:00Z,S|M|L|XL
147,Men's Knit Beanie,"Warm and comfortable knit beanie for winter wear.  Provides insulation and style. Made from soft, knitted material.",accessory,black,350,BDT,0,2025-03-22T13:00:00Z,ONESIZE
148,Men's Slim Fit Chinos,Modern slim fit chinos for a tailored and stylish look.  Made from comfortable stretch cotton twill.,pants,navy,2100,BDT,0,2025-02-18T09:00:00Z,30|32|34|36
149,Men's Puffer Jacket,Warm and insulated puffer jacket for cold weather.  Features a quilted design and a zip-up front. Available in various colors.,jacket,blue,2700,BDT,0,2025-04-28T10:00:00Z,S|M|L|XL
150,Men's Long Sleeve Polo Shirt,Classic long sleeve polo shirt for a refined casual look. Made from breathable pique cotton.,tshirt,wine,1200,BDT,10,2024-11-05T17:00:00Z,S|M|L|XL
151,Men's Classic Fit Suit Jacket,Timeless classic fit suit jacket for a traditional and polished appearance. Made from high-quality wool blend.,jacket,charcoal,3600,BDT,0,2024-11-22T11:30:00Z,38R|40R|42R
152,Men's Classic Fit Suit Pants,Matching classic fit suit pants with a straight leg and a comfortable rise.  Ideal for formal occasions.,pants,charcoal,2300,BDT,0,2025-01-25T12:00:00Z,30|32|34|36
153,Men's Button-Down Collar Shirt,Versatile button-down collar shirt that can be worn with or without a tie. Made from crisp cotton fabric.,shirt,white,1800,BDT,0,2024-12-15T10:00:00Z,S|M|L|XL
154,Men's Color Block T-Shirt,"Modern color block t-shirt with contrasting panels. Offers a stylish and contemporary look. Made from soft, breathable cotton.",tshirt,blue|black|white,950,BDT,15,2024-12-03T13:30:00Z,S|M|L|XL
155,Men's Drawstring Shorts,Casual and comfortable drawstring shorts for a relaxed fit. Perfect for lounging or warm weather. Made from soft fabric.,shorts,grey,1000,BDT,22,2025-04-18T08:00:00Z,S|M|L
156,Men's Overcoat,Warm and stylish overcoat for cold weather. Made from heavy wool blend and features a classic design.,jacket,navy,4200,BDT,0,2025-03-08T10:30:00Z,S|M|L|XL
157,Men's Leather Gloves,Genuine leather gloves for warmth and style. Perfect for winter wear and driving.,accessory,black,800,BDT,0,2025-03-01T14:00:00Z,S|M|L
158,Men's Slim Fit Corduroy Trousers,"Modern slim fit corduroy trousers with a soft, textured feel. Offers a stylish twist on a classic design.",pants,olive,2000,BDT,15,2025-02-22T11:00:00Z,30|32|34|36
159,Men's Padded Vest,Lightweight padded vest for added warmth and layering. Features a quilted design and a zip-up front.,jacket,navy,2200,BDT,0,2025-04-05T11:00:00Z,S|M|L|XL
160,Men's Long Sleeve Henley Shirt,Casual long sleeve henley shirt with a buttoned neckline. Offers a comfortable and stylish look. Made from soft cotton.,shirt,charcoal,1700,BDT,0,2024-12-18T14:30:00Z,S|M|L|XL
161,Men's Modern Fit Suit Jacket,Contemporary modern fit suit jacket with a slightly tailored silhouette. Made from high-quality wool blend.,jacket,blue,3700,BDT,0,2024-11-25T13:00:00Z,38R|40R|42R
162,Men's Modern Fit Suit Pants,Matching modern fit suit pants with a tapered leg and a flat front. Completes the sophisticated look.,pants,blue,2350,BDT,0,2025-01-29T15:00:00Z,30|32|34|36
163,Men's Spread Collar Dress Shirt,"Elegant spread collar dress shirt, designed to be worn with a wider tie knot. Made from premium cotton fabric.",shirt,white,1950,BDT,0,2025-02-08T12:30:00Z,S|M|L|XL
164,Men's Striped Polo Shirt,Classic striped polo shirt with a sporty and refined style. Made from breathable pique cotton.,tshirt,navy|white stripe,1100,BDT,10,2024-12-05T10:30:00Z,S|M|L|XL
165,Men's Cargo Shorts,"Durable cargo shorts with multiple pockets, perfect for outdoor adventures or casual wear. Made from sturdy cotton twill.",shorts,dark khaki,1250,BDT,0,2025-04-19T09:30:00Z,30|32|34|36
166,Men's Wool Coat,Warm and stylish wool coat for cold weather. Features a classic design and is made from high-quality wool.,jacket,black,4500,BDT,0,2025-03-12T11:00:00Z,S|M|L|XL
167,Men's Cashmere Scarf,"Luxurious cashmere scarf, incredibly soft and warm. A timeless accessory for colder months.",accessory,light grey,900,BDT,0,2025-03-01T17:30:00Z,ONESIZE
168,Men's Slim Fit Jeans,Contemporary slim fit jeans with a comfortable stretch. Offers a modern silhouette and all-day wearability.,jeans,dark blue,2400,BDT,0,2025-01-22T14:00:00Z,29|30|31|32|33|34
169,Men's Quilted Vest,"Lightweight quilted vest, perfect for layering in transitional weather. Features a zip-up front and a stylish design.",jacket,forest green,2300,BDT,0,2025-04-08T13:00:00Z,S|M|L|XL
170,Men's Long Sleeve T-Shirt,"Versatile long sleeve t-shirt, essential for any wardrobe. Made from soft, breathable cotton and perfect for layering.",tshirt,heather grey,920,BDT,10,2024-12-08T11:00:00Z,S|M|L|XL
171,Men's Peak Lapel Suit Jacket,"Elegant peak lapel suit jacket, a sophisticated choice for formal events. Made from premium wool blend.",jacket,midnight blue,3900,BDT,0,2024-11-28T12:30:00Z,38R|40R|42R
172,Men's Peak Lapel Suit Pants,Matching peak lapel suit pants with a tailored fit. Designed to complement the peak lapel jacket.,pants,midnight blue,2500,BDT,0,2025-02-01T16:30:00Z,30|32|34|36
173,Men's Spread Collar Shirt,"Classic spread collar shirt, suitable for a variety of tie knots. Made from high-quality cotton fabric.",shirt,ivory,1850,BDT,0,2025-02-19T09:30:00Z,S|M|L|XL
174,Men's Patterned Polo Shirt,"Stylish patterned polo shirt, adding a touch of personality to a casual look. Made from breathable pique cotton.",tshirt,geometric pattern,1200,BDT,15,2024-12-12T15:00:00Z,S|M|L|XL
175,Men's Chino Shorts,"Casual and versatile chino shorts, perfect for warm weather outings. Made from comfortable cotton twill.",shorts,navy,1100,BDT,20,2025-04-22T10:30:00Z,30|32|34|36
176,Men's Topcoat,Refined topcoat for a polished and sophisticated look. Made from a warm wool blend and features a classic design.,jacket,charcoal,4300,BDT,0,2025-03-05T13:45:00Z,S|M|L|XL
